param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_svm__C,mean_train_macro_f1,std_train_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,mean_test_macro_precision,mean_test_macro_recall,mean_test_weighted_f1,train_cv_gap,mean_fit_time,std_fit_time,rank_test_macro_f1
"(1, 2)",3,1.0,0.1,0.9629217434492311,0.0012404924674892259,0.8811047447522824,0.004936114565519472,0.882728176796738,0.8838706058337615,0.8835910663057763,0.8805001203087593,0.0818169986969487,17.59130024909973,1.153792295324297,76
"(1, 2)",2,1.0,0.1,0.962956845878435,0.001208373620127152,0.8810628200979679,0.005237601795114119,0.8827280720047032,0.8838549913332854,0.883567107036534,0.8804719788622408,0.08189402578046712,16.76144986152649,0.4433826095928642,77
"(1, 2)",5,0.9,0.1,0.9630336221634461,0.0013844701478946536,0.8810603001233958,0.005303773398118096,0.882728176796738,0.8837664352608238,0.8835317111888855,0.8804872922808373,0.08197332204005037,18.326538705825804,0.20133696848616092,78
"(1, 2)",5,0.95,0.1,0.9630331505764632,0.001301059517709427,0.8809323073037391,0.0053842430486217546,0.8825834589964485,0.8837642015556637,0.8834342616459567,0.8803328813335073,0.08210084327272416,16.85459327697754,0.4424957864378002,79
"(1, 2)",3,0.95,0.1,0.9630046152018112,0.0013012364358559222,0.8807669307982593,0.005323009127405823,0.8824386364041242,0.8835076614405966,0.883288036002746,0.8801698144006579,0.08223768440355195,16.779617166519166,0.5464342586776626,80
"(1, 2)",2,0.95,0.1,0.9628887757830498,0.0012406226920511718,0.8807658868431979,0.005096461208409172,0.8824385316120893,0.8835504949738864,0.8832785067479337,0.880171582484562,0.08212288893985187,17.235937547683715,0.7494607685198336,81
"(1, 1)",5,0.95,0.1,0.9364412748588412,0.0015509142918500082,0.8741376747041052,0.006549072051697803,0.8760690621427246,0.8772261754197703,0.8770276738257697,0.8734069098061893,0.062303600154736016,4.516024446487426,0.18110121604740592,82
"(1, 1)",3,0.95,0.1,0.9375060022173498,0.0015245977818257148,0.8740248722347467,0.005481124171961976,0.8759239251742954,0.8773345345189396,0.8768665090900847,0.8732925469695051,0.06348112998260313,4.783019733428955,0.5270544131099746,83
"(1, 1)",3,0.9,0.1,0.9377483395503171,0.0012727711324996473,0.8737288809664678,0.005866610213399526,0.8756344895737165,0.8771226976307774,0.8765898627934051,0.8729932615275423,0.06401945858384928,4.712894105911255,0.14651846623110074,84
"(1, 1)",5,1.0,0.1,0.9364414548028265,0.001533607223581044,0.8737143362796773,0.0067862591933889925,0.8756348039498214,0.8768330657532608,0.8765929980273629,0.8729827279736604,0.06272711852314916,4.635585308074951,0.3816545916191245,85
"(1, 1)",3,1.0,0.1,0.937362867142201,0.0013699436127248366,0.8734292812977795,0.0056015421479684606,0.8753448443890676,0.8766730354060488,0.8762612544569033,0.8727207913644467,0.06393358584442144,4.570522785186768,0.11867146205830745,86
"(1, 1)",2,1.0,0.1,0.9387078503592685,0.0016973681551999918,0.8733171454889291,0.005505209917601923,0.8751999170047083,0.876614798236151,0.8761210914827146,0.8725974893238628,0.06539070487033938,4.614551401138305,0.2851550711571409,87
"(1, 1)",2,0.95,0.1,0.9386372042559975,0.001695801100310277,0.8733139696209518,0.0051372597878505104,0.8751998122126734,0.8767323649151821,0.8761233450467765,0.8725908605719004,0.06532323463504575,4.651979923248291,0.30546461769413585,88
"(1, 1)",5,0.9,0.1,0.9367639886156567,0.0013962033582553218,0.8733071885904756,0.006384083277461389,0.8752004409648831,0.876489197744629,0.8761604807156965,0.8725833200622596,0.06345680002518106,5.073288488388061,0.5470583566507112,89
"(1, 1)",2,0.9,0.1,0.939140526696824,0.0015925692000365946,0.8730138036614399,0.005669273966202851,0.8749105861961644,0.876390181882478,0.8758411152918615,0.8722835627819607,0.06612672303538414,4.315362787246704,0.08028179249082486,90
